codigo_indec,provincia,departamento,lon,lat,dist_km__Gran Rosario (San Lorenzo),dist_km__Bahía Blanca (Ing. White),dist_km__Quequén (Necochea),dist_km,puerto_asignado,produccion_tn,flete_usd_tn,pizarra_usd_tn,pct_flete_sobre_bruto,valor_neto_usd_tn,flete_total_usd,valor_neto_total_usd,cultivo
66035,SALTA,CERRILLOS,-65.40387305219328,-24.988512505081047,1161.7188,1840.6863,1941.604,1161.7188,Gran Rosario (San Lorenzo),1010,87.75257471409671,336.79867869846765,26.054904684664955,249.04610398437094,88630.10046123767,251536.56502421465,Soja
66042,SALTA,CHICOANA,-65.60637447316005,-25.15151948128829,1189.2136,1868.181,1969.099,1189.2136,Gran Rosario (San Lorenzo),775,88.77544085884021,336.79867869846765,26.3586072255111,248.02323783962743,68800.96666560117,192218.00932571126,Soja
66147,SALTA,ROSARIO DE LERMA,-65.85328252398652,-24.545153415749173,1225.3833,1904.3508,2005.2685,1225.3833,Gran Rosario (San Lorenzo),120,90.07864580550549,336.79867869846765,26.745546079220805,246.72003289296217,10809.43749666066,29606.40394715546,Soja
66077,SALTA,LA CALDERA,-65.42922303872854,-24.56236959963381,1169.2033000000001,1848.1708,1949.0888,1169.2033000000001,Gran Rosario (San Lorenzo),252,88.03329365995982,336.79867869846765,26.13825386731256,248.76538503850782,22184.390002309876,62688.87702970397,Soja
66098,SALTA,LA VINA,-65.58036184047167,-25.447116236931375,1149.4526,1828.4201,1929.338,1149.4526,Gran Rosario (San Lorenzo),115,87.28820322402086,336.79867869846765,25.917026622948562,249.5104754744468,10038.143370762398,28693.704679561382,Soja
66007,SALTA,ANTA,-63.838478427392175,-24.874170431948784,1156.485,1835.4525,1936.3705,1156.485,Gran Rosario (San Lorenzo),411366,87.55536985580554,336.79867869846765,25.996351943587324,249.24330884266212,36017302.2761033,102530222.98537055,Soja
82028,SANTA FE,CONSTITUCION,-60.837020063010456,-33.48735704781335,99.65939999999999,703.5825,722.9468,99.65939999999999,Gran Rosario (San Lorenzo),763900,20.38281337628325,336.79867869846765,6.051927951454871,316.4158653221844,15570431.138142774,241710079.51961666,Soja
82084,SANTA FE,ROSARIO,-60.723248176403864,-33.11783972287305,53.3879,742.7146,749.2425999999999,53.3879,Gran Rosario (San Lorenzo),370320,14.087957364623076,336.79867869846765,4.182901613232241,322.71072133384456,5217052.371267217,119506234.32434931,Soja
82056,SANTA FE,IRIONDO,-61.27296142461509,-32.70595004690212,70.55030000000001,816.1536,835.3976,70.55030000000001,Gran Rosario (San Lorenzo),811239,16.184639694673933,336.79867869846765,4.80543443852518,320.6140390037937,13129610.921267588,260094612.3873986,Soja
82070,SANTA FE,LAS COLONIAS,-61.10893028194548,-31.314199080636744,196.2783,1000.9621,976.1637,196.2783,Gran Rosario (San Lorenzo),852460,30.699540124814337,336.79867869846765,9.11510111721647,306.0991385736533,26170129.97479923,260937271.6684965,Soja
82112,SANTA FE,SAN JUSTO,-60.48835674557582,-30.52946530365528,274.19370000000004,1078.8775,1054.0791000000002,274.19370000000004,Gran Rosario (San Lorenzo),435820,39.70038985786231,336.79867869846765,11.787572923766028,297.09828884060533,17302223.90785355,129481376.24251261,Soja
22133,CHACO,QUITILIPI,-60.17268626775055,-26.665951172706475,847.5508000000001,1652.2345,1558.5523,847.5508000000001,Gran Rosario (San Lorenzo),730,75.5659679865845,336.79867869846765,22.436539323314246,261.23271071188316,55163.156630206686,190699.87881967472,Soja
06329,BUENOS AIRES,GENERAL LAS HERAS,-58.9955537391906,-34.90938466689561,349.255,621.1821,467.1614,349.255,Gran Rosario (San Lorenzo),6060,47.865027772759625,336.79867869846765,14.211762337587045,288.93365092570804,290062.06830292335,1750937.9246097908,Soja
06525,BUENOS AIRES,MARCOS PAZ,-58.84788915909178,-34.81397863478199,343.42470000000003,614.0898000000001,460.069,343.42470000000003,Gran Rosario (San Lorenzo),10200,47.28116300844587,336.79867869846765,14.03840513601783,289.5175156900218,482267.8626861479,2953078.6600382226,Soja
42056,LA PAMPA,CHAPALEUFU,-63.660230700806096,-35.229539447446875,458.2278,500.3267,659.8995,458.2278,Gran Rosario (San Lorenzo),227547,57.23806489900112,336.79867869846765,16.99474152339112,279.5606137994665,13024349.953573007,63613178.98822721,Soja
42126,LA PAMPA,RANCUL,-64.79622208773269,-35.40811281231331,577.3886,599.6624,779.0603000000001,577.3886,Gran Rosario (San Lorenzo),130689,63.61248685489244,336.79867869846765,18.887392046999103,273.1861918435752,8313452.294579037,35702430.225845,Soja
42070,LA PAMPA,GUATRACHE,-63.78121224763674,-37.48380072932601,712.39,339.11159999999995,570.3391,339.11159999999995,Bahía Blanca (Ing. White),200,46.84998882667665,336.79867869846765,13.910383795959294,289.948689871791,9369.99776533533,57989.7379743582,Soja
42105,LA PAMPA,MARACO,-63.66207599411349,-35.67950880688816,506.7421,481.9728,666.7751,481.9728,Bahía Blanca (Ing. White),175720,58.94987886960391,336.79867869846765,17.50300182216009,277.8487998288638,10358672.714966798,48823591.105927944,Soja
86175,SANTIAGO DEL ESTERO,SAN MARTIN,-63.85419602587105,-28.18769338039848,690.1989,1374.492,1470.0843,690.1989,Gran Rosario (San Lorenzo),22145,67.99822766720244,336.79867869846765,20.189576731707,268.8004510312652,1505820.7516901982,5952585.988087368,Soja
38063,JUJUY,SAN PEDRO,-64.81123574725048,-24.29836031205484,1176.059,1855.0265,1955.9443,1176.059,Gran Rosario (San Lorenzo),2247,88.28903777653613,336.79867869846765,26.21418769150825,248.50964092193152,198385.4678838767,558401.1631515801,Soja
38105,JUJUY,VALLE GRANDE,-65.01207479677738,-23.466509641145763,1292.9823999999999,1971.9498999999998,2072.8678,1292.9823999999999,Gran Rosario (San Lorenzo),1395,92.4047342376228,336.79867869846765,27.436192622463285,244.39394446084486,128904.60426148381,340929.55252287857,Soja
34035,FORMOSA,PATINO,-59.95905583664011,-24.874473191772957,1048.7836000000002,1853.4674,1759.785,1048.7836000000002,Gran Rosario (San Lorenzo),6720,83.27253013940692,336.79867869846765,24.724719960662302,253.52614855906074,559591.4025368146,1703695.7183168882,Soja
34007,FORMOSA,BERMEJO,-61.28351695128513,-24.024991387896968,1205.2563,2009.94,1916.2578999999998,1205.2563,Gran Rosario (San Lorenzo),9828,89.35941707795826,336.79867869846765,26.5319975194917,247.4392616205094,878224.3510421737,2431833.0632063663,Soja
42133,LA PAMPA,REALICO,-64.20935607011026,-35.23082502015375,516.4597,566.6544,718.1314,516.4597,Gran Rosario (San Lorenzo),86657,60.99133739473391,336.79867869846765,18.10913796646418,275.8073413037337,5285326.324615456,23900636.775357652,Soja
38042,JUJUY,PALPALA,-65.12645219801644,-24.194876777261662,1168.6491,1847.6166,1948.5345,1168.6491,Gran Rosario (San Lorenzo),470,88.01312823981178,336.79867869846765,26.132266486297297,248.78555045865588,41366.17027271153,116929.20871556827,Soja
86140,SANTIAGO DEL ESTERO,QUEBRACHOS,-63.34941479702624,-29.38796858789158,571.3514,1228.3673000000001,1417.5438000000001,571.3514,Gran Rosario (San Lorenzo),6745,63.36049580772569,336.79867869846765,18.8125725589475,273.438182890742,427366.5442231098,1844340.5435980547,Soja
